SpecimenID,sample_id,batch,donor_mouse,genotype_label,depth_from_pia_microns,total_cortical_depth,L23_cell_depth,L23_total_thickness,L23_depth_normalized,postPatch_label,rna_amplification_call,marker_sum_norm,quality_score,contam_sum,contaminationType,SeuratMapping,SeuratMappingScore
639986522,P9S4_171004_403_A01,RSC-126,351471,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,139,1021,36,240,0.15,nucleus_present,Pass,0.469636039,0.182904354,0.421206111,Macrophage,L2/3 IT VISp Rrad,0.550442472
640006296,P8S4_171004_353_A01,RSC-125,351471,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,218,1075,108,249,0.43373494,nucleus_present,Pass,1.079674874,0.386253473,0.770177019,Macrophage,L2/3 IT VISp Rrad,0.920656752
640012241,P9S4_171004_405_A01,RSC-126,351471,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,134,1022,1,259,0.003861004,nucleus_present,Pass,0.751157228,0.410586074,0.456946296,Astro,L2/3 IT VISp Rrad,0.995284765
649270536,P8S4_171117_353_A01,RSC-134,359343,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,160,994,24,195,0.123076923,nucleus_absent,Pass,0.407601476,0.13365077,0.79868723,Macrophage,L2/3 IT VISp Agmat,0.50944546
652551506,P9S4_171207_402_A01,RSC-137,362878,Cux2-CreERT2/wt;Ai14(RCL-tdT)/wt,194,1048,78,264,0.295454545,nucleus_present,Pass,0.520011813,0.280051919,0.498281261,Macrophage,L2/3 IT VISp Agmat,0.356426783
652786618,P9S4_171208_403_A01,RSC-137,362883,Cux2-CreERT2/wt;Ai14(RCL-tdT)/wt,223,949,126,184,0.684782609,nucleus_present,Fail,0.489220492,0.238737546,0.173692436,Oligo,L2/3 IT VISp Rrad,0.46736124
653191401,PBS4_171215_501_A01,RSC-138,361815,Ntsr1-Cre_GN220/wt;Ai14(RCL-tdT)/wt,222,797,129,130,0.992307692,nucleus_absent,Pass,1.029998569,0.393363917,0.170136138,Astro,L2/3 IT VISp Rrad,0.794251679
661481525,P8S4_180207_352_A01,RSC-145,374537,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,102,806,1,210,0.004761905,nucleus_present,Pass,0.664055522,0.155116081,2.407718494,Macrophage,L2/3 IT VISp Agmat,0.508238291
667328279,P2S4_180226_052_A01,RSC-147,376995,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,57,832,5,231,0.021645022,nucleus_present,Pass,0.76193199,0.345505722,0.263750073,Oligo,L2/3 IT VISp Adamts2,0.829420042
679532137,P2S4_180403_054_A01,RSC-153,382512,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,266,889,206,223,0.923766816,nucleus_absent,Pass,0.69332079,0.319113265,0.990200315,Astro,L2/3 IT VISp Agmat,0.308441953
680970550,PBS4_180406_507_A01,RSC-154,382513,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,280,871,170,175,0.971428571,nucleus_present,Pass,1.084015874,0.523050637,0.461963446,Astro,L2/3 IT VISp Agmat,0.50786403
693269523,PBS4_180502_508_A01,RSC-157,386824,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,256,864,139,174,0.798850575,nucleus_absent,Pass,1.061662407,0.442350935,0.819213593,Astro,L2/3 IT VISp Agmat,0.872503567
693275461,PBS4_180502_511_A01,RSC-157,386824,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,235,864,109,174,0.626436782,nucleus_absent,Fail,0.424925929,0.177769843,0.657016307,Macrophage,L2/3 IT VISp Agmat,0.476839258
717089521,P9S4_180705_404_A01,RSC-167,399114,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,87,743,9,195,0.046153846,nucleus_present,Pass,0.944437815,0.433443561,0.671282504,Macrophage,L2/3 IT VISp Agmat,0.548376028
717113701,P2S4_180705_053_A01,RSC-167,399114,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,182,829,80,195,0.41025641,nucleus_present,Pass,0.918595793,0.455888899,0.468348944,Astro,L2/3 IT VISp Agmat,0.746427229
739840659,P8S4_180820_362_A01,RSC-173,408887,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,128,710,23,151,0.152317881,nucleus_present,Pass,0.763481379,0.36498818,0.490442248,Peri,L2/3 IT VISp Adamts2,0.687053
740373591,P2S4_180821_052_A01,RSC-174,408759,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,156,820,32,179,0.17877095,nucleus_present,Pass,0.758297078,0.260480219,1.623748892,Macrophage,L2/3 IT VISp Rrad,0.828005874
740401195,P2S4_180821_054_A01,RSC-174,408893,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,188,820,84,205,0.409756098,nucleus_present,Pass,0.855752082,0.433929537,0.323874296,Astro,L2/3 IT VISp Agmat,0.751721218
742041338,PBS4_180824_513_A01,RSC-174,408888,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,197,882,80,170,0.470588235,nucleus_present,Pass,1.031103129,0.5190937,0.470675185,Astro,L2/3 IT VISp Rrad,0.607510573
742049511,PBS4_180824_514_A01,RSC-174,408888,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,230,820,107,143,0.748251748,nucleus_present,Pass,0.820693102,0.308600916,1.225108565,Macrophage,L2/3 IT VISp Rrad,0.774863707
742054277,PBS4_180824_515_A01,RSC-174,408888,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,170,820,55,143,0.384615385,nucleus_present,Pass,0.853589454,0.436985154,0.567477095,Oligo,L2/3 IT VISp Rrad,0.857281344
742728386,PAS4_180827_451_A01,RSC-175,410508,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,229,772,116,154,0.753246753,nucleus_present,Pass,0.791894648,0.304722311,0.554176561,Macrophage,L2/3 IT VISp Agmat,0.558083583
742768716,P2S4_180827_052_A01,RSC-174,410508,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,160,790,74,202,0.366336634,nucleus_present,Pass,0.763642655,0.214532457,1.401011829,Macrophage,L2/3 IT VISp Agmat,0.715799477
742793678,P2S4_180827_053_A01,RSC-175,410508,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,109,867,52,224,0.232142857,nucleus_present,Pass,0.770592453,0.300749368,0.966889869,Macrophage,L2/3 IT VISp Agmat,0.517686538
743600920,P2S4_180829_052_A01,RSC-175,408895,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,156,800,53,239,0.221757322,nucleus_present,Pass,0.76432604,0.364487311,0.622283817,Macrophage,L2/3 IT VISp Agmat,0.456759582
743639567,P2S4_180829_053_A01,RSC-175,408895,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,139,782,36,239,0.150627615,nucleus_present,Pass,0.928795449,0.379808179,0.835318813,Macrophage,L2/3 IT VISp Rrad,0.658263118
743675437,P8S4_180829_357_A01,RSC-176,408895,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,182,860,27,186,0.14516129,nucleus_present,Pass,0.846204854,0.408100986,0.88646841,Macrophage,L2/3 IT VISp Adamts2,0.812253194
743688686,P8S4_180829_358_A01,RSC-176,408895,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,281,860,154,160,0.9625,nucleus_present,Pass,0.86900231,0.389212444,0.595974145,Macrophage,L2/3 IT VISp Agmat,0.657012517
816462408,PBS4_190131_501_A01,RSC-197,439873,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,161,821,63,198,0.318181818,nucleus_present,Pass,0.785959086,0.352354291,0.378883083,Macrophage,L2/3 IT VISp Agmat,0.709786219
823230158,PFS4_190214_702_A01,RSC-199,442297,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt,150,851,43,208,0.206730769,nucleus_present,Pass,1.007376603,0.381576794,0.777847636,Astro,L2/3 IT VISp Rrad,0.761443038
823231829,P1S4_190214_003_A01,RSC-199,442297,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt,124,793,48,196,0.244897959,nucleus_present,Pass,1.00890875,0.317663361,1.438362366,Macrophage,L2/3 IT VISp Rrad,0.581911205
824909637,P8S4_190218_354_A01,RSC-200,442954,Scnn1a-Tg1-Cre/wt;Ai14(RCL-tdT)/wt,219,819,115,164,0.701219512,nucleus_present,Pass,0.988299627,0.420422538,0.63072019,Astro,L2/3 IT VISp Rrad,0.57032611
824923819,P8S4_190218_355_A01,RSC-200,442954,Scnn1a-Tg1-Cre/wt;Ai14(RCL-tdT)/wt,224,838,109,165,0.660606061,nucleus_present,Pass,1.067298298,0.400858675,0.814729664,Macrophage,L2/3 IT VISp Agmat,0.866754055
824937690,P8S4_190218_356_A01,RSC-200,442954,Scnn1a-Tg1-Cre/wt;Ai14(RCL-tdT)/wt,193,785,91,196,0.464285714,nucleus_present,Pass,0.966679829,0.502469833,0.423335673,Astro,L2/3 IT VISp Agmat,0.531061937
831175106,PES4_190301_652_A01,RSC-201,444843,Gpr139-IRES2-FlpO-WPRE-neo/wt;Ai65F/Ai65F,197,800,117,193,0.606217617,nucleus_present,Pass,1.012219326,0.452258996,0.23443748,Astro,L2/3 IT VISp Agmat,0.617330975
847876759,P1S4_190408_006_A01,RSC-206,454538,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,163,819,81,180,0.45,nucleus_present,Pass,1.143927696,0.462549946,0.530466813,Macrophage,L2/3 IT VISp Adamts2,0.76631703
867650384,P1S4_190514_001_A01,RSC-211,462536,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,74,755,20,163,0.122699387,nucleus_present,Pass,1.043880617,0.479544488,0.213483838,SMC,L2/3 IT VISp Adamts2,0.5441004
867765313,PFS4_190514_702_A01,RSC-211,462536,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,156,792,42,233,0.180257511,nucleus_present,Pass,0.854779044,0.471856989,0.536726692,Astro,L2/3 IT VISp Rrad,0.551552179
869616485,PES4_190516_651_A01,RSC-213,462539,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,104,805,15,201,0.074626866,nucleus_present,Pass,0.926800881,0.344098178,0.900708116,Macrophage,L2/3 IT VISp Rrad,0.669501917
869634031,PFS4_190516_702_A01,RSC-213,462539,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,169,893,87,205,0.424390244,nucleus_present,Pass,0.942833796,0.267249942,1.247468951,Macrophage,L2/3 IT VISp Agmat,0.878276178
882454517,PFS4_190606_704_A01,RSC-215,467263,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt,134,841,42,167,0.251497006,nucleus_present,Pass,0.93117619,0.486354786,0.745934422,Macrophage,L2/3 IT VISp Agmat,0.537181179
889271408,PES4_190618_651_A01,RSC-217,470195,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt,178,767,110,193,0.569948187,nucleus_present,Pass,0.867112157,0.291147295,0.680158327,Macrophage,L2/3 IT VISp Rrad,0.654521327
892645602,PES4_190621_653_A01,RSC-218,469304,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,278,833,192,210,0.914285714,nucleus_present,Pass,0.95256179,0.457694391,0.896625035,Astro,L2/3 IT VISp Agmat,0.832261933
893406540,P1S4_190624_004_A01,RSC-218,470692,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,112,781,33,231,0.142857143,nucleus_present,Pass,0.929440474,0.307486192,0.958981723,Macrophage,L2/3 IT VISp Rrad,0.591744841
895740736,P8S4_190627_352_A01,RSC-218,471160,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,245,808,125,179,0.698324022,nucleus_present,Pass,0.963123123,0.329382972,1.341871495,Macrophage,L2/3 IT VISp Agmat,0.859523239
896877084,P1S4_190628_007_A01,RSC-218,470694,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,170,796,97,183,0.530054645,nucleus_absent,Pass,0.863721992,0.240986318,1.16901806,Macrophage,L2/3 IT VISp Agmat,0.520645793
898529889,P1S4_190701_003_A01,RSC-218,471959,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,219,793,125,205,0.609756098,nucleus_absent,Fail,0.425762037,0.209578496,0.293493986,Astro,L2/3 IT VISp Rrad,0.197460938
898559010,PFS4_190701_701_A01,RSC-219,471959,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,195,939,91,178,0.511235955,nucleus_present,Pass,0.482365769,0.161121831,0.493875035,Macrophage,L2/3 IT VISp Agmat,0.438018785
898881170,PFS4_190702_701_A01,RSC-219,471960,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,207,825,113,192,0.588541667,nucleus_present,Pass,0.9759973,0.340770212,0.601469723,Macrophage,L2/3 IT VISp Rrad,0.553256026
899368360,P8S4_190702_351_A01,RSC-219,471960,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,282,722,155,170,0.911764706,nucleus_present,Pass,0.876838849,0.381174483,0.546592765,Macrophage,L2/3 IT VISp Agmat,0.650250906
899505007,P1S4_190703_003_A01,RSC-219,471961,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,227,715,108,180,0.6,nucleus_present,Pass,0.977925244,0.349880757,1.50958393,Astro,L2/3 IT VISp Rrad,0.745169069
899583778,PES4_190703_654_A01,RSC-219,471961,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,252,764,131,180,0.727777778,nucleus_present,Pass,0.961618902,0.457359013,0.4040209,Astro,L2/3 IT VISp Agmat,0.858408993
901103089,P1S4_190708_003_A01,RSC-219,473098,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,135,833,33,206,0.160194175,nucleus_absent,Pass,0.570695325,0.156556672,1.196540541,Macrophage,L2/3 IT VISp Agmat,0.495890618
902007486,PES4_190709_651_A01,RSC-219,472189,Ntsr1-Cre_GN220/wt;Ai14(RCL-tdT)/wt,199,778,116,164,0.707317073,nucleus_present,Pass,0.910807044,0.410911282,0.815620448,Macrophage,L2/3 IT VISp Agmat,0.582753017
904094833,PFS4_190711_708_A01,RSC-219,473797,Chrna2-Cre_OE25/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,110,798,34,205,0.165853659,nucleus_absent,Pass,0.793181947,0.231879817,1.378787268,Astro,L2/3 IT VISp Agmat,0.600473655
904832267,PFS4_190712_703_A01,RSC-219,473604,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,201,821,101,180,0.561111111,nucleus_present,Pass,0.918749887,0.445858238,0.462348166,Astro,L2/3 IT VISp Agmat,0.456477588
904862358,PFS4_190712_704_A01,RSC-219,473604,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,141,793,62,217,0.285714286,nucleus_present,Pass,1.056236242,0.46223758,0.565929627,Astro,L2/3 IT VISp Rrad,0.721386015
907492272,P1S4_190716_009_A01,RSC-220,474665,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,141,715,64,139,0.460431655,nucleus_absent,Fail,0.411157931,0.214595841,0.616563403,Astro,L2/3 IT VISp Agmat,0.539534354
910247459,P1S4_190722_001_A01,RSC-221,476127,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,107,721,10,155,0.064516129,nucleus_present,Pass,0.581277856,0.280555385,0.525568826,Macrophage,L2/3 IT VISp Rrad,0.978135999
910375338,P1S4_190722_004_A01,RSC-221,476322,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,138,833,53,145,0.365517241,nucleus_present,Pass,0.880732633,0.424310863,0.308064987,Peri,L2/3 IT VISp Agmat,0.51741205
910868809,P1S4_190723_002_A01,RSC-221,476128,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,130,787,46,194,0.237113402,nucleus_present,Pass,0.787991635,0.221962963,0.957255012,Macrophage,L2/3 IT VISp Agmat,0.624729672
912008949,P1S4_190725_002_A01,RSC-221,476712,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,166,808,84,192,0.4375,nucleus_present,Pass,0.9841832,0.434084987,0.553252991,Macrophage,L2/3 IT VISp Rrad,0.867834734
912256459,PAS4_190725_453_A01,RSC-221,476902,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,138,783,65,179,0.363128492,nucleus_present,Pass,0.956349039,0.365599989,0.74837423,Astro,L2/3 IT VISp Rrad,0.57336985
912275105,PFS4_190725_703_A01,RSC-221,476902,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,105,831,17,229,0.074235808,nucleus_present,Pass,0.922622573,0.406894739,0.21848586,Astro,L2/3 IT VISp Rrad,0.930425442
912289883,PAS4_190725_454_A01,RSC-221,476902,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,192,792,103,198,0.52020202,nucleus_present,Pass,0.670557837,0.255763726,0.495534232,Macrophage,L2/3 IT VISp Agmat,0.656772881
